帖子编号,固定链接,发布消息,类型,国家/地区,语言,发了帖子,受众定位,广告发布期间帖子总覆盖人数,广告发布期间帖子自然覆盖人数,广告发布期间帖子付费覆盖人数,广告发布期间帖子总展示次数,广告发布期间帖子自然展示次数,广告发布期间帖子付费展示次数,广告发布期间互动用户人数,广告发布期间帖子消费者人数,广告发布期间帖子使用量,广告发布期间的负面反馈,广告发布期间用户负面反馈次数,广告发布期间帖子对赞主页用户的展示次数,广告发布期间帖子覆盖人数（按赞主页的用户）,广告发布期间帖子对赞主页用户的展示次数,广告发布期间帖子对赞主页用户的付费覆盖人数,广告发布期间赞主页和与帖子互动的用户人数,"广告发布期间 95% 自然观看量","广告发布期间 95% 自然观看量","广告发布期间 95% 视频付费观看量","广告发布期间 95% 视频付费观看量",广告发布期间视频自然观看量,广告发布期间视频自然观看量,广告发布期间视频付费观看量,广告发布期间视频付费观看量,广告发布期间的视频平均观看时间,视频总时长,"广告发布期间（帖子）谈论次数（按操作类型） - share","广告发布期间（帖子）谈论次数（按操作类型） - like","广告发布期间（帖子）谈论次数（按操作类型） - comment","广告发布期间的帖子动态（按操作类型） - share","广告发布期间的帖子动态（按操作类型） - like","广告发布期间的帖子动态（按操作类型） - comment","广告发布期间帖子消费者（按类型） - other clicks","广告发布期间帖子消费者（按类型） - photo view","广告发布期间帖子消费者（按类型） - video play","广告发布期间帖子消费者（按类型） - link clicks","广告发布期间帖子使用量 - 按类型 - other clicks","广告发布期间帖子使用量 - 按类型 - photo view","广告发布期间帖子使用量 - 按类型 - video play","广告发布期间帖子使用量 - 按类型 - link clicks","广告发布期间用户负面反馈次数 - 按类型 - hide_clicks","广告发布期间用户负面反馈次数 - 按类型 - hide_all_clicks","广告发布期间用户负面反馈次数 - 按类型 - unlike_page_clicks","广告发布期间用户负面反馈次数 - 按类型 - report_spam_clicks","广告发布期间的负面反馈 - hide_clicks","广告发布期间的负面反馈 - hide_all_clicks","广告发布期间的负面反馈 - unlike_page_clicks","广告发布期间的负面反馈 - report_spam_clicks"
169799706487474_1248347908632643,https://www.facebook.com/CGTNFrancais/videos/1248347908632643/,"Manifestations contre un film controversé 

La sécurité a été renforcée dans plusieurs Etats indiens après des manifestations contre un film de #Bollywood. Les manifestants disent que le film décrit une romance entre une reine hindoue de légende et un envahisseur musulman. Les écoles d'un quartier de New Delhi ont été fermées après l'attaque d'un bus d'écoliers.",Video,,,"01/28/2018 06:00:00 AM"," ",22976,22908,0,40664,40592,0,1256,1168,2014,4,4,38492,21334,0,0,1180,116,116,0,0,3255,3328,0,0,6915,109907,13,98,5,13,102,5,1091,16,613,,1348,16,650,,2,2,,,2,2,,
169799706487474_1248245758642858,https://www.facebook.com/CGTNFrancais/posts/1248245758642858,"30e sommet de l'UA : le continent africain est clé pour des solutions aux problèmes mondiaux (Guterres)

Le secrétaire général des Nations Unies (United Nations), #AntonioGuterres, a mis l'accent samedi sur l'importance de l'#Afrique pour la paix et le développement dans le monde.

&quot;Je crois que, dans le domaine de la paix et la sécurité, du développement et des droits de l'Homme, vraiment, le continent africain est clé pour des solutions aux problèmes mondiaux&quot;, a déclaré M. Guterres, venu à Addis-Abeba, la capitale éthiopienne, participer au 30e sommet de l'Union africaine (#UA).",Photo,,,"01/28/2018 05:00:00 AM"," ",50768,50541,0,93072,92648,0,966,576,654,8,8,91544,49825,0,0,945,0,0,0,0,0,0,0,0,0,0,16,422,9,17,428,15,431,163,1,,483,170,1,,3,5,,,3,5,,
169799706487474_1248479841952783,https://www.facebook.com/CGTNFrancais/posts/1248479841952783,"En direct demain (lundi à 15:00 GMT Beijing) d'un village traditionnel sur l'ancienne Route de la soie dans la province du Yunnan (sud-ouest). Suivez nos journalistes de CGTN Français en direct pour explorer le spectaculaire village de Heshun, riche de plus de 600 ans d’histoire et de tradition.",Photo,,,"01/28/2018 04:00:42 AM"," ",52778,52591,0,89365,89145,0,1260,640,712,6,10,88114,51993,0,0,1232,0,0,0,0,0,0,0,0,0,0,22,643,4,25,664,6,238,431,,,262,450,,,8,2,,,4,2,,
169799706487474_1248346661966101,https://www.facebook.com/CGTNFrancais/videos/1248346661966101/,"14 soldats tués par des tireurs 

Le président malien Ibrahim Boubacar Keita a déclaré que son peuple ne serait jamais effrayé par les attentats après le meurtre de 14 soldats par des tireurs non identifiés au lever du jour dans un camp militaire de Soumpi. C'est arrivé seulement deux jours après les attentats dans le centre du village malien de Boni où vivent 26 personnes. C'est une zone qui a été prise pour cible dans une vague d'attaques par des militants islamistes.",Video,,,"01/28/2018 04:00:00 AM"," ",30654,30586,0,51853,51709,0,2719,2648,4956,4,4,50764,29904,0,0,2605,820,832,0,0,3739,3877,0,0,6413,43347,19,168,4,20,174,5,2525,13,1779,,3069,13,1874,,2,2,,,2,2,,
169799706487474_1248390455295055,https://www.facebook.com/CGTNFrancais/posts/1248390455295055,"#JO2018 Il ne reste que 12 jours avant l’ouverture de la 23e édition des Jeux Olympiques d’hiver de #PyeongChang, qui comprendront 15 épreuves. CGTN Français vous présente une épreuve olympique par jour. Jour 4 : le ski acrobatique. Appelé le « cirque sur neige », en raison de sa diversité, le ski acrobatique est un sport où les athlètes descendent une pente enneigée en conférant la valeur artistique la plus élevée aux acrobaties aériennes qu’ils effectuent. La compétition de ski acrobatique des Jeux olympiques d’hiver de PyeongChang comprendra cinq disciplines individuelles : les bosses, le saut, le ski cross, le ski slope-style et le ski half-pipe, séparés en épreuves masculines et féminines ; il y aura donc en tout 10 médailles d’or à disputer. L'équipe chinoise de ski acrobatique a remporté toutes les 10 qualifications pour les Jeux Olympiques d'hiver de PyeongChang. Nous adressons nos vœux de plein succès à l’équipe chinoise !",Photo,,,"01/28/2018 03:00:00 AM"," ",43976,43877,0,80686,80608,0,810,486,552,6,11,79589,43441,0,0,782,0,0,0,0,0,0,0,0,0,0,6,342,1,6,352,1,219,290,,,249,303,,,8,3,,,3,3,,
169799706487474_1248276898639744,https://www.facebook.com/CGTNFrancais/videos/1248276898639744/,"#CorrespondantsSpéciaux Journée internationale à la mémoire des victimes de l’Holocauste 

La Journée internationale dédiée à la mémoire des victimes de l’Holocauste est une journée de souvenir de l’Holocauste et de prévention des crimes contre l’humanité. Depuis 2015, elle est célébrée chaque année le 27 janvier, à la date d’anniversaire de la libération du camp d’Auschwitz. Jade Charles s’est rendue aux événements organisés pour cette occasion à Paris au siège de l’UNESCO et au Mémorial de la Shoah, en présence notamment du célèbre chasseur de nazis Serge Klarsfeld, avocat et historien dont le père avait été interné et tué à Auschwitz.",Video,,,"01/28/2018 02:00:00 AM"," ",15579,15495,0,28026,27867,0,553,494,879,1,1,25889,13862,0,0,481,10,10,0,0,1254,1327,0,0,3666,199934,5,78,5,5,84,5,438,1,275,,573,1,305,,1,,,,1,,,
169799706487474_1248404151960352,https://www.facebook.com/CGTNFrancais/videos/1248404151960352/,"Culture Express 01/28",Video,,,"01/28/2018 01:00:07 AM"," ",19963,18966,0,28589,27218,0,2167,1682,2047,6,7,20540,13237,0,0,2009,4,4,0,0,4259,4470,0,0,12946,914301,26,538,76,38,757,88,520,2,1400,,625,2,1420,,2,5,,,2,4,,
169799706487474_1248275478639886,https://www.facebook.com/CGTNFrancais/videos/1248275478639886/,"#Davos2018 Un expert assure que la politique et les réformes chinoises seront supérieures aux attentes mondiales

Le rassemblement mondial annuel des dirigeants nationaux et des entrepreneurs à Davos a pris fin. Le Forum économique mondial est une plate-forme importante pour la Chine lui permettant de partager ses contributions à l'économie mondiale. Le représentant chinois, directeur du bureau du Groupe central des affaires économiques et financières, Liu He, a pris la parole mercredi.  #EconomieChinoise",Video,,,"01/28/2018 12:00:00 AM"," ",4299,4299,0,6334,6334,0,127,94,131,1,1,5952,3941,0,0,100,11,11,0,0,169,169,0,0,2857,66131,,33,3,,33,3,76,3,34,,93,3,35,,1,,,,1,,,
169799706487474_1248263245307776,https://www.facebook.com/CGTNFrancais/posts/1248263245307776,"De magnifiques photos de Shanghai après la neige !

Ces photos montrent le paysage de la ville de Shanghai après la première chute de neige de cette année, le 26 janvier. Le climat de Shanghai, de type subtropical humide, est rythmé par quatre saisons distinctes. Les hivers sont froids, avec des températures tombant parfois au-dessous de zéro, mais il ne neige que rarement.  #BelleChine",Photo,,,"01/27/2018 11:00:00 PM"," ",87846,86787,0,153886,152004,0,3122,1686,2008,6,8,150449,85894,0,0,3045,0,0,0,0,0,0,0,0,0,0,72,1458,11,75,1481,12,556,1266,,,695,1313,,,7,1,,,5,1,,
169799706487474_1248243155309785,https://www.facebook.com/CGTNFrancais/posts/1248243155309785,"Au moins 14 morts dans une fusillade au Brésil

Au moins 14 personnes ont été tuées et six autres blessées lors d'une fusillade dans une discothèque de la ville de Fortaleza, au nord-est du Brésil, ont confirmé samedi les autorités locales.

La fusillade a eu lieu dans une discothèque &quot;Forro do Gago&quot;, samedi à l'aube, lorsqu'un groupe d'hommes lourdement armés a fait irruption dans la discothèque et a commencé à tirer sur les personnes.

Au moins deux des blessés sont dans un état critique, selon des sources de l'hôpital.",Photo,,,"01/27/2018 07:45:01 PM"," ",48479,47743,0,83881,83039,0,1646,1232,1404,5,8,81814,47271,0,0,1604,0,0,0,0,0,0,0,0,0,0,16,445,5,16,454,5,542,751,,,629,775,,,7,1,,,4,1,,
